yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
19953,584.41,13.580,35.180,0.2724949976,0.0528,0.0732,0.0793,0.0663,0.0378924171,0.0063755487,0.0132000000,0.0045931800,0.0240155816,0.0265534431,0.0013614246,-0.0001402155,0.0367626866,0.0806772297,0.0741809299,3.500,8.690
19954,615.93,13.790,33.960,0.2550263829,0.0514,0.0682,0.0749,0.0603,0.0388749943,0.0156410262,0.0128500000,0.0052253400,0.0837289320,0.0669314676,0.0018545378,-0.0001466042,0.0370679903,0.0587918549,0.0525047514,3.550,7.130
19961,645.50,14.100,34.040,0.2392996154,0.0496,0.0735,0.0803,0.0684,0.0367714328,0.0170038700,0.0124000000,0.0103963600,-0.0693105857,-0.0484848411,0.0043932744,0.0000305558,0.0375315595,0.0553188400,0.0495460248,3.450,8.960
19962,670.63,14.270,34.910,0.2364437252,0.0509,0.0771,0.0840,0.0703,0.0337380881,0.0272997890,0.0127250000,0.0077170400,-0.0019536613,0.0014252624,0.0025019363,-0.0008478904,0.0381332847,0.0450685219,0.0393552216,3.770,10.130
19963,687.31,14.660,36.000,0.2272973181,0.0509,0.0766,0.0835,0.0704,0.0335368596,0.0296577296,0.0127250000,0.0063816200,0.0165233544,0.0197374187,0.0041628930,-0.0005386936,0.0388898390,0.0312313756,0.0252704054,3.890,9.780
19964,740.74,14.900,38.730,0.2073427297,0.0491,0.0720,0.0789,0.0673,0.0348741174,0.0241008722,0.0122750000,0.0088776200,0.0493489382,0.0435711306,0.0030194243,-0.0003967552,0.0393878163,0.0834002851,0.0777463353,3.790,9.860
19971,757.12,15.060,40.240,0.2147802023,0.0514,0.0755,0.0818,0.0723,0.0302179915,0.0211198386,0.0128500000,0.0043997500,-0.0324173705,-0.0221076667,0.0048363311,-0.0013083062,0.0398161385,0.0264065641,0.0215983515,3.610,10.470
19972,885.14,15.160,40.550,0.1842876150,0.0493,0.0741,0.0802,0.0688,0.0232934746,0.0108474777,0.0123250000,0.0025031300,0.0556385733,0.0507233642,0.0069869200,-0.0006620977,0.0402089920,0.1750083365,0.1697558091,3.870,10.440
19973,947.28,15.330,40.640,0.1779678570,0.0495,0.0715,0.0770,0.0649,0.0212633966,0.0146506387,0.0123750000,0.0062422000,0.0614293123,0.0507550413,0.0071014066,-0.0007428601,0.0416314894,0.0760166276,0.0714146111,4.060,9.870
19974,970.43,15.490,39.720,0.1788008842,0.0516,0.0676,0.0732,0.0602,0.0167552859,0.0155787276,0.0129000000,0.0037220800,0.0687137261,0.0461720144,0.0142752187,-0.0008887790,0.0412890350,0.0295619950,0.0252372186,3.950,8.940
19981,1101.75,15.640,39.540,0.1811403960,0.0503,0.0672,0.0732,0.0602,0.0034836974,0.0165059994,0.0125750000,0.0012360900,0.0151876400,0.0168397736,0.0046590418,-0.0007397901,0.0419935783,0.1405030025,0.1363825999,3.760,10.290
19982,1133.84,15.950,38.970,0.1780606060,0.0498,0.0653,0.0713,0.0576,0.0040532550,0.0240314567,0.0124500000,0.0049382700,0.0441226389,0.0338425279,0.0046709124,-0.0011688478,0.0425662381,0.0341013943,0.0302644977,4.180,9.870
19983,1017.01,16.150,38.090,0.2032484042,0.0461,0.0640,0.0709,0.0517,0.0103720956,0.0240923988,0.0115250000,0.0042997500,0.0834854030,0.0446843916,0.0215331107,-0.0016339078,0.0422312465,-0.0981994019,-0.1018871524,4.260,8.990
19984,1229.23,16.200,37.710,0.1736113154,0.0439,0.0622,0.0723,0.0542,-0.0015323469,0.0200631520,0.0109750000,0.0055045900,-0.0154720633,0.0084944870,0.0103952366,-0.0010338728,0.0428010253,0.2157163136,0.2115413062,4.000,8.560
19991,1286.37,16.450,38.380,0.1728971707,0.0444,0.0662,0.0753,0.0592,-0.0062808925,0.0206762987,0.0111000000,0.0024330900,-0.0412967766,-0.0280988886,0.0100313057,-0.0010753509,0.0428084163,0.0488474116,0.0455069190,4.010,10.960
19992,1372.71,16.450,41.020,0.1542274468,0.0457,0.0723,0.0802,0.0627,-0.0025314034,0.0188761710,0.0114250000,0.0072815500,-0.0241106270,-0.0356384358,0.0082215328,-0.0011446288,0.0431645771,0.0686943498,0.0650082951,4.180,12.510
19993,1282.71,16.640,43.960,0.1636844982,0.0468,0.0739,0.0820,0.0646,0.0014526173,0.0204589499,0.0117000000,0.0108433700,-0.0046680472,-0.0046996168,0.0070460050,-0.0009857026,0.0435836817,-0.0621528323,-0.0653110686,4.450,11.930
19994,1469.25,16.690,48.170,0.1471672594,0.0520,0.0755,0.0819,0.0682,-0.0055506667,0.0179621806,0.0130000000,0.0059594800,-0.0226796435,-0.0079346249,0.0073789637,0.0000642780,0.0429437311,0.1543832368,0.1510380786,4.050,12.770
20001,1498.58,16.760,50.950,0.1499735618,0.0569,0.0768,0.0837,0.0618,-0.0183309614,0.0183638243,0.0142250000,0.0130331700,0.0883296505,0.0241003435,0.0148851161,0.0001848837,0.0436898167,0.0257730063,0.0228067827,4.080,13.740
20002,1454.60,16.700,51.920,0.1567779616,0.0569,0.0767,0.0848,0.0622,-0.0071031238,0.0072026759,0.0142250000,0.0070175400,0.0111248414,0.0042914259,0.0154869621,-0.0002467433,0.0442445860,-0.0283599733,-0.0310714470,4.120,13.480
20003,1436.51,16.340,53.700,0.1537894629,0.0600,0.0762,0.0835,0.0612,-0.0080970324,0.0044836473,0.0150000000,0.0081300800,0.0253602714,0.0363872016,0.0047047293,-0.0005084875,0.0438669186,-0.0056421038,-0.0083851304,4.090,13.710
